Symbol,Total_Revenue,Gross_Profit,Operating_Income,Net_Income,EPS,Cost_of_Revenue,R&D_Expenses,SG&A_Expenses,Tax_Provision,Operating_Expenses,Market_Price,Date
MMM,32637999104.0,,,,9.61,,,,,,,2024-12-30 19:26:58.553121
AOS,3893799936.0,,,,3.79,,,,,,,2024-12-30 19:26:58.843410
ABT,41216999424.0,,,,3.29,,,,,,,2024-12-30 19:26:59.162487
ABBV,55532998656.0,,,,2.87,,,,,,,2024-12-30 19:26:59.449852
ACN,64896462848.0,,,,11.93,,,,,,,2024-12-30 19:26:59.752427
AYI,3840999936.0,,,,13.43,,,,,,,2024-12-30 19:27:00.060900
ADBE,20946999296.0,,,,12.37,,,,,,,2024-12-30 19:27:00.372952
AAP,11273254912.0,,,,0.79,,,,,,,2024-12-30 19:27:00.682294
AMD,24295000064.0,,,,1.13,,,,,,,2024-12-30 19:27:01.133075
AES,12284000256.0,,,,1.44,,,,,,,2024-12-30 19:27:01.422295
AMG,2019200000.0,,,,15.39,,,,,,,2024-12-30 19:27:11.699622
AFL,17301999616.0,,,,6.73,,,,,,,2024-12-30 19:27:11.999740
A,6496999936.0,,,,4.43,,,,,,,2024-12-30 19:27:12.271306
APD,12100599808.0,,,,17.25,,,,,,,2024-12-30 19:27:12.599197
AKAM,3966245888.0,,,,3.38,,,,,,,2024-12-30 19:27:12.950191
ALK,10753999872.0,,,,2.51,,,,,,,2024-12-30 19:27:13.274358
ALB,6501978112.0,,,,-16.76,,,,,,,2024-12-30 19:27:13.662228
ARE,3085452032.0,,,,1.64,,,,,,,2024-12-30 19:27:13.979998
ALGN,3960518912.0,,,,5.86,,,,,,,2024-12-30 19:27:14.281983
ALLE,3724000000.0,,,,6.51,,,,,,,2024-12-30 19:27:14.572330
LNT,3966000128.0,,,,2.57,,,,,,,2024-12-30 19:27:25.061538
ALL,62432002048.0,,,,15.47,,,,,,,2024-12-30 19:27:25.392237
GOOGL,339859013632.0,,,,7.54,,,,,,,2024-12-30 19:27:25.722535
GOOG,339859013632.0,,,,7.55,,,,,,,2024-12-30 19:27:26.091806
MO,20362000384.0,,,,5.92,,,,,,,2024-12-30 19:27:26.431716
AMZN,620127977472.0,,,,4.68,,,,,,,2024-12-30 19:27:26.797559
AEE,7057999872.0,,,,4.25,,,,,,,2024-12-30 19:27:27.176120
AAL,53612998656.0,,,,0.42,,,,,,,2024-12-30 19:27:27.491217
AEP,19602200576.0,,,,4.96,,,,,,,2024-12-30 19:27:27.790913
AXP,59238998016.0,,,,13.58,,,,,,,2024-12-30 19:27:28.181803
AIG,45298999296.0,,,,5.03,,,,,,,2024-12-30 19:27:38.502308
AMT,11167699968.0,,,,4.15,,,,,,,2024-12-30 19:27:38.811500
AWK,4514999808.0,,,,5.04,,,,,,,2024-12-30 19:27:39.131099
AMP,17444999168.0,,,,26.15,,,,,,,2024-12-30 19:27:39.411450
AME,6910462976.0,,,,5.75,,,,,,,2024-12-30 19:27:39.721389
AMGN,32533999616.0,,,,7.83,,,,,,,2024-12-30 19:27:40.074027
APH,14232399872.0,,,,1.75,,,,,,,2024-12-30 19:27:40.392158
ADI,9700435968.0,,,,3.28,,,,,,,2024-12-30 19:27:40.779528
ANSS,2467742976.0,,,,6.49,,,,,,,2024-12-30 19:27:41.340771
AON,14926000128.0,,,,11.68,,,,,,,2024-12-30 19:27:41.822368
APA,8954999808.0,,,,7.04,,,,,,,2024-12-30 19:27:52.132481
AIV,204735008.0,,,,-1.73,,,,,,,2024-12-30 19:27:52.491297
AAPL,391034994688.0,,,,6.08,,,,,,,2024-12-30 19:27:52.851236
AMAT,26854000640.0,,,,8.61,,,,,,,2024-12-30 19:27:53.430961
APTV,19725000704.0,,,,8.98,,,,,,,2024-12-30 19:27:54.403709
ADM,88768004096.0,,,,3.56,,,,,,,2024-12-30 19:27:54.955291
AJG,10667700224.0,,,,5.24,,,,,,,2024-12-30 19:27:55.884238
AIZ,11755799552.0,,,,14.0,,,,,,,2024-12-30 19:27:56.744089
T,122059997184.0,,,,1.23,,,,,,,2024-12-30 19:27:57.555901
ADSK,5805000192.0,,,,5.03,,,,,,,2024-12-30 19:27:58.103690
ADP,19522899968.0,,,,9.36,,,,,,,2024-12-30 19:28:08.522254
AZO,18490267648.0,,,,149.44,,,,,,,2024-12-30 19:28:08.870347
AVB,2926010880.0,,,,7.32,,,,,,,2024-12-30 19:28:09.232935
AVY,8680500224.0,,,,8.33,,,,,,,2024-12-30 19:28:09.528374
BAC,94625996800.0,,,,2.76,,,,,,,2024-12-30 19:28:09.881577
BAX,15061999616.0,,,,0.25,,,,,,,2024-12-30 19:28:10.270566
BDX,19828000768.0,,,,5.85,,,,,,,2024-12-30 19:28:10.580681
BRK-B,369893015552.0,,,,49.49,,,,,,,2024-12-30 19:28:10.940063
BBY,42537000960.0,,,,5.84,,,,,,,2024-12-30 19:28:11.359097
BIIB,9607499776.0,,,,11.06,,,,,,,2024-12-30 19:28:11.660063
BLK,19360999424.0,,,,40.51,,,,,,,2024-12-30 19:28:22.028093
HRB,3620357120.0,,,,4.02,,,,,,,2024-12-30 19:28:22.342241
BA,73292996608.0,,,,-12.94,,,,,,,2024-12-30 19:28:22.710647
BWA,14168999936.0,,,,4.04,,,,,,,2024-12-30 19:28:23.000705
BXP,3344005120.0,,,,2.3,,,,,,,2024-12-30 19:28:23.309540
BSX,15911000064.0,,,,1.21,,,,,,,2024-12-30 19:28:23.633332
BHF,4860000256.0,,,,-20.13,,,,,,,2024-12-30 19:28:24.014561
BMY,47435001856.0,,,,-3.58,,,,,,,2024-12-30 19:28:24.350361
AVGO,46814998528.0,,,,1.28,,,,,,,2024-12-30 19:28:24.809519
BF-B,4091000064.0,,,,2.12,,,,,,,2024-12-30 19:28:25.100949
CHRW,17762187264.0,,,,2.89,,,,,,,2024-12-30 19:28:35.470861
CA,,,,,,,,,,,,2024-12-30 19:28:35.809675
CDNS,4353906176.0,,,,3.81,,,,,,,2024-12-30 19:28:36.110774
CPB,9635999744.0,,,,1.83,,,,,,,2024-12-30 19:28:36.488230
COF,26496999424.0,,,,10.6,,,,,,,2024-12-30 19:28:36.790296
CAH,224454000640.0,,,,5.19,,,,,,,2024-12-30 19:28:37.079763
KMX,27679066112.0,,,,2.94,,,,,,,2024-12-30 19:28:37.392383
CCL,24479000576.0,,,,1.44,,,,,,,2024-12-30 19:28:37.750882
CAT,65664000000.0,,,,21.53,,,,,,,2024-12-30 19:28:38.070750
CBOE,3955599872.0,,,,7.34,,,,,,,2024-12-30 19:28:38.442652
CNC,146204000256.0,,,,5.79,,,,,,,2024-12-30 19:28:48.750654
CNP,8562999808.0,,,,1.5,,,,,,,2024-12-30 19:28:49.100909
CF,5983000064.0,,,,6.31,,,,,,,2024-12-30 19:28:49.435632
SCHW,18736001024.0,,,,2.56,,,,,,,2024-12-30 19:28:50.014642
CHTR,54869999616.0,,,,31.9,,,,,,,2024-12-30 19:28:50.360387
CVX,191688998912.0,,,,9.1,,,,,,,2024-12-30 19:28:50.650560
CMG,10984862720.0,,,,1.08,,,,,,,2024-12-30 19:28:51.028873
CB,54697000960.0,,,,24.38,,,,,,,2024-12-30 19:28:51.368405
CHD,6053100032.0,,,,2.22,,,,,,,2024-12-30 19:28:51.670080
CI,229746999296.0,,,,10.56,,,,,,,2024-12-30 19:28:52.079313
CINF,12154999808.0,,,,19.46,,,,,,,2024-12-30 19:29:02.379531
CTAS,9755872256.0,,,,4.14,,,,,,,2024-12-30 19:29:02.729771
CSCO,52976001024.0,,,,2.33,,,,,,,2024-12-30 19:29:03.020696
C,69307998208.0,,,,3.51,,,,,,,2024-12-30 19:29:03.329943
CFG,7114999808.0,,,,2.55,,,,,,,2024-12-30 19:29:03.759461
CME,6034400256.0,,,,9.5,,,,,,,2024-12-30 19:29:04.078342
CMS,7475999744.0,,,,3.51,,,,,,,2024-12-30 19:29:04.392377
KO,46365999104.0,,,,2.41,,,,,,,2024-12-30 19:29:04.830598
CTSH,19412000768.0,,,,4.52,,,,,,,2024-12-30 19:29:05.276379
CL,20106000384.0,,,,3.48,,,,,,,2024-12-30 19:29:05.558045
CMCSA,123069997056.0,,,,3.71,,,,,,,2024-12-30 19:29:15.919559
CMA,3160999936.0,,,,4.0,,,,,,,2024-12-30 19:29:16.349781
CAG,11941799936.0,,,,1.03,,,,,,,2024-12-30 19:29:16.666612
COP,56924000256.0,,,,8.43,,,,,,,2024-12-30 19:29:16.961364
ED,15031000064.0,,,,5.32,,,,,,,2024-12-30 19:29:17.566099
STZ,10190799872.0,,,,3.14,,,,,,,2024-12-30 19:29:17.867472
GLW,12611000320.0,,,,0.19,,,,,,,2024-12-30 19:29:18.288733
COST,254453006336.0,,,,17.01,,,,,,,2024-12-30 19:29:18.598337
COTY,6148100096.0,,,,0.18,,,,,,,2024-12-30 19:29:18.897990
CCI,6592999936.0,,,,2.82,,,,,,,2024-12-30 19:29:19.210566
CSX,14680999936.0,,,,1.88,,,,,,,2024-12-30 19:29:29.529645
CMI,34197999616.0,,,,15.28,,,,,,,2024-12-30 19:29:29.992309
CVS,367245983744.0,,,,3.94,,,,,,,2024-12-30 19:29:30.492411
DHI,36801400832.0,,,,14.34,,,,,,,2024-12-30 19:29:30.900059
DHR,23741999104.0,,,,5.29,,,,,,,2024-12-30 19:29:31.223645
DRI,11416399872.0,,,,8.74,,,,,,,2024-12-30 19:29:31.570708
DVA,12666613760.0,,,,9.27,,,,,,,2024-12-30 19:29:31.928657
DE,55955001344.0,,,,25.63,,,,,,,2024-12-30 19:29:32.608072
DAL,60307001344.0,,,,7.21,,,,,,,2024-12-30 19:29:32.992685
XRAY,3900000000.0,,,,-2.03,,,,,,,2024-12-30 19:29:33.299639
DVN,14529000448.0,,,,5.4,,,,,,,2024-12-30 19:29:43.672745
DLR,5374854144.0,,,,1.23,,,,,,,2024-12-30 19:29:44.171359
DFS,11685999616.0,,,,14.65,,,,,,,2024-12-30 19:29:44.531894
DG,39676977152.0,,,,6.06,,,,,,,2024-12-30 19:29:44.830246
DLTR,30966300672.0,,,,-4.7,,,,,,,2024-12-30 19:29:45.126586
D,14593000448.0,,,,2.71,,,,,,,2024-12-30 19:29:45.440537
DOV,8474512896.0,,,,11.02,,,,,,,2024-12-30 19:29:45.728225
DTE,12414999552.0,,,,7.38,,,,,,,2024-12-30 19:29:46.019813
DUK,29750999040.0,,,,5.57,,,,,,,2024-12-30 19:29:46.404129
DXC,13262000128.0,,,,0.18,,,,,,,2024-12-30 19:29:46.944343
EMN,9344000000.0,,,,7.46,,,,,,,2024-12-30 19:29:57.408819
ETN,24604999680.0,,,,9.4,,,,,,,2024-12-30 19:29:57.706971
EBAY,10266000384.0,,,,3.97,,,,,,,2024-12-30 19:29:58.137487
ECL,15674600448.0,,,,7.13,,,,,,,2024-12-30 19:29:58.440308
EIX,17321000960.0,,,,3.42,,,,,,,2024-12-30 19:29:58.759295
EW,6314899968.0,,,,2.59,,,,,,,2024-12-30 19:29:59.191563
EA,7408999936.0,,,,3.9,,,,,,,2024-12-30 19:29:59.498985
EMR,17492000768.0,,,,2.82,,,,,,,2024-12-30 19:29:59.796981
ETR,11862153216.0,,,,4.11,,,,,,,2024-12-30 19:30:00.235910
EOG,23864000512.0,,,,12.39,,,,,,,2024-12-30 19:30:00.548667
EQT,4623048192.0,,,,0.75,,,,,,,2024-12-30 19:30:10.898825
EFX,5588199936.0,,,,4.51,,,,,,,2024-12-30 19:30:11.228572
EQIX,8401490944.0,,,,11.12,,,,,,,2024-12-30 19:30:11.528744
EQR,2940828928.0,,,,2.37,,,,,,,2024-12-30 19:30:11.958675
ESS,1752440064.0,,,,8.56,,,,,,,2024-12-30 19:30:12.299249
EL,15450999808.0,,,,0.56,,,,,,,2024-12-30 19:30:12.578745
ES,11623559168.0,,,,-1.61,,,,,,,2024-12-30 19:30:12.971793
EXC,22923999232.0,,,,2.43,,,,,,,2024-12-30 19:30:13.362173
EXPE,13393999872.0,,,,7.69,,,,,,,2024-12-30 19:30:13.719040
EXPD,9923577856.0,,,,5.13,,,,,,,2024-12-30 19:30:14.191610
EXR,3311250944.0,,,,3.75,,,,,,,2024-12-30 19:30:24.746879
XOM,343818010624.0,,,,8.03,,,,,,,2024-12-30 19:30:25.045747
FFIV,2816120064.0,,,,9.56,,,,,,,2024-12-30 19:30:25.999745
FAST,7480099840.0,,,,2.01,,,,,,,2024-12-30 19:30:26.479691
FRT,1185020032.0,,,,3.44,,,,,,,2024-12-30 19:30:26.828098
FDX,87591002112.0,,,,15.67,,,,,,,2024-12-30 19:30:27.180739
FIS,10030999552.0,,,,0.97,,,,,,,2024-12-30 19:30:27.630021
FITB,8063000064.0,,,,3.0,,,,,,,2024-12-30 19:30:28.065068
FE,13256999936.0,,,,1.55,,,,,,,2024-12-30 19:30:28.569678
FISV,,9745000000.0,,,,,,,,,,2024-12-30 19:30:28.886243
FLS,4542636032.0,,,,2.03,,,,,,,2024-12-30 19:30:39.291141
FLR,15875000320.0,,,,1.45,,,,,,,2024-12-30 19:30:39.753376
FMC,4167899904.0,,,,12.19,,,,,,,2024-12-30 19:30:40.465765
FL,8152000000.0,,,,-4.52,,,,,,,2024-12-30 19:30:40.887222
F,182743007232.0,,,,0.88,,,,,,,2024-12-30 19:30:41.286848
FTV,6195200000.0,,,,2.5,,,,,,,2024-12-30 19:30:41.588163
BEN,8478000128.0,,,,0.85,,,,,,,2024-12-30 19:30:41.903561
FCX,25639999488.0,,,,1.38,,,,,,,2024-12-30 19:30:42.219529
GRMN,5956843008.0,,,,7.87,,,,,,,2024-12-30 19:30:42.507372
IT,6138409984.0,,,,13.54,,,,,,,2024-12-30 19:30:42.869400
GD,46045999104.0,,,,13.12,,,,,,,2024-12-30 19:30:53.306243
GE,69953003520.0,,,,5.07,,,,,,,2024-12-30 19:30:53.725791
GIS,19800600576.0,,,,4.6,,,,,,,2024-12-30 19:30:54.060103
GM,182719004672.0,,,,9.37,,,,,,,2024-12-30 19:30:54.661457
GPC,23302279168.0,,,,7.75,,,,,,,2024-12-30 19:30:55.077441
GILD,28298999808.0,,,,0.09,,,,,,,2024-12-30 19:30:55.538653
GPN,10024320000.0,,,,5.3,,,,,,,2024-12-30 19:30:55.986584
GS,49386999808.0,,,,34.11,,,,,,,2024-12-30 19:30:56.287730
GT,19047000064.0,,,,-1.04,,,,,,,2024-12-30 19:30:56.657295
GWW,16931999744.0,,,,36.88,,,,,,,2024-12-30 19:30:57.037618
HAL,23072999424.0,,,,2.86,,,,,,,2024-12-30 19:31:07.459729
HBI,5466904064.0,,,,-0.24,,,,,,,2024-12-30 19:31:08.070778
HOG,5552402944.0,,,,4.49,,,,,,,2024-12-30 19:31:08.586583
HIG,26083999744.0,,,,9.96,,,,,,,2024-12-30 19:31:09.054165
HAS,4322800128.0,,,,-4.64,,,,,,,2024-12-30 19:31:09.571259
HCA,69620998144.0,,,,22.27,,,,,,,2024-12-30 19:31:10.135054
HCP,627625024.0,,,,-0.6,,,,,,,2024-12-30 19:31:10.697265
HP,2756606976.0,,,,3.43,,,,,,,2024-12-30 19:31:11.478904
HSIC,12499000320.0,,,,2.44,,,,,,,2024-12-30 19:31:11.968089
HES,12462999552.0,,,,8.58,,,,,,,2024-12-30 19:31:12.411801
HPE,29020000256.0,,,,1.93,,,,,,,2024-12-30 19:31:22.777151
HLT,4695000064.0,,,,4.67,,,,,,,2024-12-30 19:31:23.168353
HOLX,3987599872.0,,,,3.32,,,,,,,2024-12-30 19:31:23.546007
HD,154595999744.0,,,,14.73,,,,,,,2024-12-30 19:31:23.848902
HON,37850001408.0,,,,8.65,,,,,,,2024-12-30 19:31:24.248769
HRL,11980785664.0,,,,1.47,,,,,,,2024-12-30 19:31:24.548216
HST,5590000128.0,,,,1.03,,,,,,,2024-12-30 19:31:24.858375
HPQ,53320998912.0,,,,2.81,,,,,,,2024-12-30 19:31:25.258553
HUM,115010002944.0,,,,11.45,,,,,,,2024-12-30 19:31:25.651465
HBAN,6689999872.0,,,,1.03,,,,,,,2024-12-30 19:31:25.962191
HII,11708000256.0,,,,17.71,,,,,,,2024-12-30 19:31:36.338193
IDXX,3844816896.0,,,,10.37,,,,,,,2024-12-30 19:31:36.651011
INFO,,,,,,,,,,,,2024-12-30 19:31:36.997639
ITW,15948999680.0,,,,11.54,,,,,,,2024-12-30 19:31:37.266325
ILMN,4390000128.0,,,,-9.97,,,,,,,2024-12-30 19:31:37.588827
INCY,4075859968.0,,,,0.09,,,,,,,2024-12-30 19:31:37.997824
IR,7157799936.0,,,,2.05,,,,,,,2024-12-30 19:31:38.284576
INTC,54246998016.0,,,,-3.74,,,,,,,2024-12-30 19:31:38.587653
ICE,9157000192.0,,,,4.21,,,,,,,2024-12-30 19:31:38.915961
IBM,62579998720.0,,,,6.86,,,,,,,2024-12-30 19:31:39.378017
IP,18639998976.0,,,,1.17,,,,,,,2024-12-30 19:31:49.707177
IPG,9338900480.0,,,,2.12,,,,,,,2024-12-30 19:31:50.009233
IFF,11416000512.0,,,,-9.08,,,,,,,2024-12-30 19:31:50.456134
INTU,16284999680.0,,,,10.28,,,,,,,2024-12-30 19:31:50.818647
